Campaign Name,Date,Spend [USD],Impressions of ad,Reach,Website Clicks,Searches,Viewed content,Added to Cart,Purchases,CVR,CPA,CTR
Control Campaign,2019-08-01,2280,82702.0,56930.0,7016.0,2290.0,2159.0,1819.0,618.0,0.7472612512393896,3.6893203883495147,8.48347077458828
Control Campaign,2019-08-02,1757,121040.0,102513.0,8110.0,2033.0,1841.0,1219.0,511.0,0.42217448777263716,3.4383561643835616,6.700264375413086
Control Campaign,2019-08-03,2343,131711.0,110862.0,6508.0,1737.0,1549.0,1134.0,372.0,0.2824365466817502,6.298387096774194,4.9411210908731995
Control Campaign,2019-08-04,1940,72878.0,61235.0,3065.0,1042.0,982.0,1183.0,340.0,0.46653311012925713,5.705882352941177,4.205658772194627
Control Campaign,2019-08-06,3083,109076.0,87998.0,4028.0,1709.0,1249.0,784.0,764.0,0.7004290586380139,4.035340314136126,3.69283802119623
Control Campaign,2019-08-07,2544,142123.0,127852.0,2640.0,1388.0,1106.0,1166.0,499.0,0.35110432512682677,5.098196392785571,1.8575459285266986
Control Campaign,2019-08-08,1900,90939.0,65217.0,7260.0,3047.0,2746.0,930.0,462.0,0.5080328571899845,4.112554112554113,7.983373470128328
Control Campaign,2019-08-09,2813,121332.0,94896.0,6198.0,2487.0,2179.0,645.0,501.0,0.4129166254574226,5.614770459081837,5.108297893383444
Control Campaign,2019-08-10,2149,117624.0,91257.0,2277.0,2475.0,1984.0,1629.0,734.0,0.624022308372441,2.9277929155313354,1.935829422566823
Control Campaign,2019-08-11,2490,115247.0,95843.0,8137.0,2941.0,2486.0,1887.0,475.0,0.41215823405381485,5.242105263157895,7.060487474728192
Control Campaign,2019-08-12,2319,116639.0,100189.0,2993.0,1397.0,1147.0,1439.0,794.0,0.680732859506683,2.920654911838791,2.5660370887953428
Control Campaign,2019-08-13,2697,82847.0,68214.0,6554.0,2390.0,1975.0,1794.0,766.0,0.9245959419170278,3.52088772845953,7.9109684116503916
Control Campaign,2019-08-14,1875,145248.0,118632.0,4521.0,1209.0,1149.0,1339.0,788.0,0.5425203789380921,2.3794416243654823,3.1126074025115664
Control Campaign,2019-08-15,2774,132845.0,102479.0,4896.0,1179.0,1005.0,1641.0,366.0,0.2755090519025932,7.579234972677596,3.685498136926493
Control Campaign,2019-08-16,2024,71274.0,42859.0,5224.0,2427.0,2158.0,1613.0,438.0,0.6145298425793417,4.621004566210046,7.329460953503381
Control Campaign,2019-08-17,2177,119612.0,106518.0,6628.0,1756.0,1642.0,878.0,222.0,0.18560010701267432,9.806306306306306,5.541250041801826
Control Campaign,2019-08-18,1876,108452.0,96518.0,7253.0,2447.0,2115.0,1695.0,243.0,0.2240622579574374,7.720164609053498,6.68775126323166
Control Campaign,2019-08-19,2596,107890.0,81268.0,3706.0,2483.0,2098.0,908.0,542.0,0.5023635183983687,4.789667896678967,3.434980072295857
Control Campaign,2019-08-20,2675,113430.0,78625.0,2578.0,1001.0,848.0,1709.0,299.0,0.26359869523053864,8.946488294314381,2.272767345499427
Control Campaign,2019-08-21,1803,74654.0,59873.0,5691.0,2711.0,2496.0,1460.0,800.0,1.071610362472205,2.25375,7.623168216036649
Control Campaign,2019-08-22,2939,105705.0,86218.0,6843.0,3102.0,2988.0,819.0,387.0,0.3661132396764581,7.594315245478036,6.473676741875976
Control Campaign,2019-08-23,2496,129880.0,109413.0,4410.0,2896.0,2496.0,1913.0,766.0,0.5897751770865414,3.258485639686684,3.3954419464120726
Control Campaign,2019-08-24,1892,72515.0,51987.0,4085.0,1274.0,1149.0,1146.0,585.0,0.8067296421430049,3.2341880341880342,5.6333172447079916
Control Campaign,2019-08-25,1962,117006.0,100398.0,4234.0,2423.0,2096.0,883.0,386.0,0.32989761208826895,5.082901554404145,3.6186178486573337
Control Campaign,2019-08-26,2233,124897.0,98432.0,5435.0,2847.0,2421.0,1448.0,251.0,0.20096559565081626,8.896414342629482,4.351585706622257
Control Campaign,2019-08-27,2061,104678.0,91579.0,4941.0,3549.0,3249.0,980.0,605.0,0.5779628957374042,3.406611570247934,4.720189533617379
Control Campaign,2019-08-28,2421,141654.0,125874.0,6287.0,1672.0,1589.0,1711.0,643.0,0.45392293899219227,3.765163297045101,4.438279187315572
Control Campaign,2019-08-29,2375,92029.0,74192.0,8127.0,4891.0,4219.0,1486.0,334.0,0.3629290767040824,7.110778443113772,8.83091199513197
Control Campaign,2019-08-30,2324,111306.0,88632.0,4658.0,1615.0,1249.0,442.0,670.0,0.6019441898909313,3.4686567164179105,4.184859755987997
Test Campaign,2019-08-01,3008,39550.0,35820.0,3038.0,1946.0,1069.0,894.0,255.0,0.6447534766118836,11.79607843137255,7.68141592920354
Test Campaign,2019-08-02,2542,100719.0,91236.0,4657.0,2359.0,1548.0,879.0,677.0,0.6721671184185705,3.75480059084195,4.623755200111201
Test Campaign,2019-08-03,2365,70263.0,45198.0,7885.0,2572.0,2367.0,1268.0,578.0,0.8226235714387373,4.091695501730104,11.222122596530179
Test Campaign,2019-08-04,2710,78451.0,25937.0,4216.0,2216.0,1437.0,566.0,340.0,0.4333915437661725,7.970588235294118,5.37405514270054
Test Campaign,2019-08-05,2297,114295.0,95138.0,5863.0,2106.0,858.0,956.0,768.0,0.6719454044358896,2.9908854166666665,5.12970821120784
Test Campaign,2019-08-06,2458,42684.0,31489.0,7488.0,1854.0,1073.0,882.0,488.0,1.1432855402492736,5.036885245901639,17.54287320775935
Test Campaign,2019-08-07,2838,53986.0,42148.0,4221.0,2733.0,2182.0,1301.0,890.0,1.6485755566257918,3.18876404494382,7.818693735412885
Test Campaign,2019-08-08,2916,33669.0,20149.0,7184.0,2867.0,2194.0,1240.0,431.0,1.2801092993554901,6.765661252900232,21.337135050046037
Test Campaign,2019-08-09,2652,45511.0,31598.0,8259.0,2899.0,2761.0,1200.0,845.0,1.856693986069302,3.1384615384615384,18.147261101711674
Test Campaign,2019-08-10,2790,95054.0,79632.0,8125.0,2312.0,1804.0,424.0,275.0,0.28930923475077325,10.145454545454545,8.54777284490921
Test Campaign,2019-08-11,2420,83633.0,71286.0,3750.0,2893.0,2617.0,1075.0,668.0,0.7987277749213827,3.622754491017964,4.48387598196884
Test Campaign,2019-08-12,2831,124591.0,10598.0,8264.0,2081.0,1992.0,1382.0,709.0,0.5690619707683541,3.9929478138222847,6.632902858151873
Test Campaign,2019-08-13,1972,65827.0,49531.0,7568.0,2213.0,2058.0,1391.0,812.0,1.2335363908426633,2.4285714285714284,11.496802224011423
Test Campaign,2019-08-14,2537,56304.0,25982.0,3993.0,1979.0,1059.0,779.0,340.0,0.6038647342995169,7.461764705882353,7.0918584825234445
Test Campaign,2019-08-15,2516,94338.0,76219.0,4993.0,2537.0,1609.0,1090.0,398.0,0.4218872564608111,6.321608040201005,5.292671033941784
Test Campaign,2019-08-16,3076,106584.0,81389.0,6800.0,2661.0,2594.0,1059.0,487.0,0.4569166103730391,6.316221765913758,6.3799444569541395
Test Campaign,2019-08-17,1968,95843.0,54389.0,7910.0,1995.0,1576.0,383.0,238.0,0.24832277787631857,8.268907563025211,8.253080558830588
Test Campaign,2019-08-18,1979,53632.0,43241.0,6909.0,2824.0,2522.0,461.0,257.0,0.4791915274463007,7.700389105058366,12.882234486873509
Test Campaign,2019-08-19,2626,22521.0,10698.0,7617.0,2924.0,2801.0,788.0,512.0,2.2734336841170464,5.12890625,33.82176635140536
Test Campaign,2019-08-20,2712,39470.0,31893.0,6050.0,2061.0,1894.0,1047.0,730.0,1.8495059538890297,3.7150684931506848,15.328097289080315
Test Campaign,2019-08-21,3112,133771.0,109834.0,5471.0,1995.0,1868.0,278.0,245.0,0.18314881401798597,12.70204081632653,4.089825148948576
Test Campaign,2019-08-22,2899,34752.0,27932.0,4431.0,1983.0,1131.0,367.0,276.0,0.7941988950276243,10.503623188405797,12.750345303867404
Test Campaign,2019-08-23,2407,60286.0,49329.0,5077.0,2592.0,2004.0,632.0,473.0,0.7845934379457917,5.088794926004228,8.42152406860631
Test Campaign,2019-08-24,2078,36650.0,30489.0,7156.0,2687.0,2427.0,327.0,269.0,0.7339699863574352,7.724907063197026,19.52523874488404
Test Campaign,2019-08-25,2928,120576.0,105978.0,3596.0,2937.0,2551.0,1228.0,651.0,0.5399084394904459,4.497695852534562,2.982351380042463
Test Campaign,2019-08-26,2311,80841.0,61589.0,3820.0,2037.0,1046.0,346.0,284.0,0.3513068863571702,8.137323943661972,4.725325020719684
Test Campaign,2019-08-27,2915,111469.0,92159.0,6435.0,2976.0,2552.0,992.0,771.0,0.6916721240883116,3.780804150453956,5.772905471476375
Test Campaign,2019-08-28,2247,54627.0,41267.0,8144.0,2432.0,1281.0,1009.0,721.0,1.3198601424204148,3.116504854368932,14.908378640598972
Test Campaign,2019-08-29,2805,67444.0,43219.0,7651.0,1920.0,1240.0,1168.0,677.0,1.0037957416523338,4.14327917282127,11.34422632109602
Test Campaign,2019-08-30,1977,120203.0,89380.0,4399.0,2978.0,1625.0,1034.0,572.0,0.4758616673460729,3.4562937062937062,3.659642438208697
